comment_id,polarized
h4lph7x,True
h4mrkol,False
h4o0fkv,False
h4p0u4i,False
h4p4l7e,False
h4q5cnl,False
h4qho7y,False
h4qplvd,False
h4rktry,False
h4wpi5w,True
h4wpnia,False
h4wq76e,True
h4xikkb,False
h4zlmeu,False
h4zzzsx,True
h503o0w,True
